,rank,SMILES,Enamine catalog ID,mol_weight,logP,PAINS passed,DockingScore
0,1,OCCOc1ccc(cc1)NC(=O)CC1Cc2ccccc2NC1=O,Z3563914321,340.374,2.1973,Yes,-15.477523803710938
1,2,COc1ccc(cc1O)CCNC(=O)CC1Cc2ccccc2NC1=O,Z3578533019,354.400,2.2605999999999997,Yes,-15.014358520507812
2,3,CCc1cnc(s1)NC(=O)CC1Cc2ccccc2NC1=O,Z3562283449,315.392,2.8451000000000004,Yes,-14.788114547729492
3,4,CNCc1ccc(cc1)NC(=O)NNC(=O)CC12CC3CC(C2)CC(C1)C3,Z2356892957,370.489,3.1652000000000013,Yes,-14.354812622070312
4,5,CNCc1ccc(cc1)NC(=O)NCc1ccc2c(c1)CC(O2)C,Z2927579085,325.406,3.0511000000000017,Yes,-14.097501754760742
5,6,Clc1ccc(cc1)C(C(=O)NCCc1ccc(c(c1)O)C)(O)C,Z3715765994,333.810,2.920420000000001,Yes,-13.924038887023926
6,7,OCC(Cc1ccc(cc1)C)NC(=O)NC1CCc2c(C1)cccc2,Z1802638542,338.444,2.7551200000000016,Yes,-13.760540008544922
7,8,COCc1ccccc1CNC(=O)NCCCc1ccccc1,Z352258996,312.407,3.2650000000000023,Yes,-13.685519218444824
8,9,C#CCSCCNC(=O)N[C@@H]1CCc2c1ccc(c2)F,Z1247568201,292.373,2.4786,Yes,-13.582712173461914
9,10,COCc1ccc(cc1)NC(=O)NNC(=O)CC12CC3CC(C2)CC(C1)C3,Z1892870382,371.474,3.5922000000000027,Yes,-13.545822143554688
10,11,O=C(N1CCC(CC1)(C(=O)N)c1ccccc1)CC1C2CC3CC1CC(C2)C3,Z2479162908,380.524,3.494500000000002,Yes,-13.545209884643556
11,12,N#Cc1ccc(cc1F)NC(=O)NCC1CC2CCC(C1)S2(=O)=O,Z2840134272,351.398,2.1746799999999995,Yes,-13.543949127197266
12,13,CCN(C(=O)c1ccc(cc1)NC(=O)NCc1ccc(cc1)C(F)F)CC,Z1693136396,375.413,4.427900000000003,Yes,-13.45728588104248
13,14,COc1ccc2c(c1)CCC(C2)NC(=O)NCc1ccc(cc1)CCN(C)C,Z1802828777,381.512,3.1560000000000015,Yes,-13.445448875427246
